"","betap_poly","nu_poly","vaxrate_poly","beta","estimate","SE","df","t.ratio","p.value"
"1","linear","linear","linear","1.4",-75.908,2.439,1296,-31.128,0
"2","quadratic","linear","linear","1.4",8.625,1.091,1296,7.909,0
"3","cubic","linear","linear","1.4",-3.714,2.439,1296,-1.523,0.128
"4","linear","quadratic","linear","1.4",63.579,4.224,1296,15.053,0
"5","quadratic","quadratic","linear","1.4",-6.244,1.889,1296,-3.306,0.001
"6","cubic","quadratic","linear","1.4",1.642,4.224,1296,0.389,0.697
"7","linear","linear","quadratic","1.4",12.437,1.091,1296,11.405,0
"8","quadratic","linear","quadratic","1.4",-1.05,0.488,1296,-2.152,0.032
"9","cubic","linear","quadratic","1.4",-0.067,1.091,1296,-0.062,0.951
"10","linear","quadratic","quadratic","1.4",-11.295,1.889,1296,-5.98,0
"11","quadratic","quadratic","quadratic","1.4",-0.532,0.845,1296,-0.63,0.529
"12","cubic","quadratic","quadratic","1.4",0.502,1.889,1296,0.266,0.79
"13","linear","linear","cubic","1.4",-7.474,2.439,1296,-3.065,0.002
"14","quadratic","linear","cubic","1.4",0.187,1.091,1296,0.171,0.864
"15","cubic","linear","cubic","1.4",1.192,2.439,1296,0.489,0.625
"16","linear","quadratic","cubic","1.4",8.095,4.224,1296,1.917,0.056
"17","quadratic","quadratic","cubic","1.4",2.042,1.889,1296,1.081,0.28
"18","cubic","quadratic","cubic","1.4",0.424,4.224,1296,0.1,0.92
"19","linear","linear","linear","1.75",-46.315,2.439,1296,-18.993,0
"20","quadratic","linear","linear","1.75",4.637,1.091,1296,4.252,0
"21","cubic","linear","linear","1.75",-0.469,2.439,1296,-0.193,0.847
"22","linear","quadratic","linear","1.75",35.547,4.224,1296,8.416,0
"23","quadratic","quadratic","linear","1.75",-3.098,1.889,1296,-1.64,0.101
"24","cubic","quadratic","linear","1.75",1.07,4.224,1296,0.253,0.8
"25","linear","linear","quadratic","1.75",3.362,1.091,1296,3.083,0.002
"26","quadratic","linear","quadratic","1.75",-0.34,0.488,1296,-0.698,0.485
"27","cubic","linear","quadratic","1.75",-0.067,1.091,1296,-0.062,0.951
"28","linear","quadratic","quadratic","1.75",-3.991,1.889,1296,-2.113,0.035
"29","quadratic","quadratic","quadratic","1.75",0.484,0.845,1296,0.573,0.567
"30","cubic","quadratic","quadratic","1.75",1.258,1.889,1296,0.666,0.506
"31","linear","linear","cubic","1.75",-1.925,2.439,1296,-0.79,0.43
"32","quadratic","linear","cubic","1.75",0.516,1.091,1296,0.473,0.636
"33","cubic","linear","cubic","1.75",0.36,2.439,1296,0.148,0.883
"34","linear","quadratic","cubic","1.75",1.253,4.224,1296,0.297,0.767
"35","quadratic","quadratic","cubic","1.75",-0.623,1.889,1296,-0.33,0.742
"36","cubic","quadratic","cubic","1.75",1.026,4.224,1296,0.243,0.808
"37","linear","linear","linear","2.1",-24.787,2.439,1296,-10.165,0
"38","quadratic","linear","linear","2.1",1.557,1.091,1296,1.428,0.154
"39","cubic","linear","linear","2.1",0.101,2.439,1296,0.041,0.967
"40","linear","quadratic","linear","2.1",5.186,4.224,1296,1.228,0.22
"41","quadratic","quadratic","linear","2.1",-2.814,1.889,1296,-1.49,0.137
"42","cubic","quadratic","linear","2.1",-0.206,4.224,1296,-0.049,0.961
"43","linear","linear","quadratic","2.1",-3.27,1.091,1296,-2.998,0.003
"44","quadratic","linear","quadratic","2.1",0.445,0.488,1296,0.913,0.361
"45","cubic","linear","quadratic","2.1",0.051,1.091,1296,0.047,0.963
"46","linear","quadratic","quadratic","2.1",0.501,1.889,1296,0.265,0.791
"47","quadratic","quadratic","quadratic","2.1",-1.404,0.845,1296,-1.663,0.097
"48","cubic","quadratic","quadratic","2.1",-1.519,1.889,1296,-0.804,0.422
"49","linear","linear","cubic","2.1",5.647,2.439,1296,2.316,0.021
"50","quadratic","linear","cubic","2.1",-1.013,1.091,1296,-0.929,0.353
"51","cubic","linear","cubic","2.1",-0.65,2.439,1296,-0.267,0.79
"52","linear","quadratic","cubic","2.1",-8.297,4.224,1296,-1.964,0.05
"53","quadratic","quadratic","cubic","2.1",1.146,1.889,1296,0.607,0.544
"54","cubic","quadratic","cubic","2.1",-2.512,4.224,1296,-0.595,0.552
