"","betap","nu","vaxrate","beta","emmean","SE","df","lower.CL","upper.CL"
"1","1.25","0","0","1.4",14.9941759171642,0.0444467827826215,4752,14.8831186530799,15.1052331812485
"2","1.5","0","0","1.4",10.2813709235963,0.0444467827826211,4752,10.170313659512,10.3924281876806
"3","1.75","0","0","1.4",7.60396139421218,0.0444467827826218,4752,7.49290413012785,7.71501865829651
"4","2","0","0","1.4",6.27582111318747,0.0444467827826206,4752,6.16476384910315,6.3868783772718
"5","1.25","0.3","0","1.4",5.036850635588,0.0444467827826225,4752,4.92579337150367,5.14790789967233
"6","1.5","0.3","0","1.4",4.48909120791868,0.0444467827826215,4752,4.37803394383435,4.60014847200301
"7","1.75","0.3","0","1.4",4.10956205852352,0.0444467827826215,4752,3.99850479443919,4.22061932260784
"8","2","0.3","0","1.4",3.83899831368236,0.0444467827826239,4752,3.72794104959803,3.95005557776669
"9","1.25","0","0.3","1.4",7.55078178083781,0.0444467827826221,4752,7.43972451675348,7.66183904492214
"10","1.5","0","0.3","1.4",5.70213770025342,0.0444467827826212,4752,5.5910804361691,5.81319496433775
"11","1.75","0","0.3","1.4",4.86052511339764,0.0444467827826217,4752,4.74946784931331,4.97158237748196
"12","2","0","0.3","1.4",4.24737781274962,0.0444467827826228,4752,4.13632054866529,4.35843507683396
"13","1.25","0.3","0.3","1.4",3.9849752173114,0.0444467827826209,4752,3.87391795322708,4.09603248139573
"14","1.5","0.3","0.3","1.4",3.60063448333871,0.0444467827826212,4752,3.48957721925438,3.71169174742304
"15","1.75","0.3","0.3","1.4",3.35687118702364,0.0444467827826215,4752,3.24581392293932,3.46792845110797
"16","2","0.3","0.3","1.4",3.09529834546988,0.0444467827826168,4752,2.98424108138556,3.2063556095542
"17","1.25","0","0","1.75",11.3198666143811,0.0444467827826211,4752,11.2088093502968,11.4309238784654
"18","1.5","0","0","1.75",8.70270460158735,0.0444467827826221,4752,8.59164733750302,8.81376186567168
"19","1.75","0","0","1.75",7.19319129054029,0.044446782782621,4752,7.08213402645596,7.30424855462461
"20","2","0","0","1.75",6.18178683855023,0.0444467827826217,4752,6.0707295744659,6.29284410263456
"21","1.25","0.3","0","1.75",4.94681227097833,0.0444467827826212,4752,4.835755006894,5.05786953506266
"22","1.5","0.3","0","1.75",4.48336306884953,0.0444467827826217,4752,4.3723058047652,4.59442033293386
"23","1.75","0.3","0","1.75",4.08926802793311,0.0444467827826221,4752,3.97821076384878,4.20032529201744
"24","2","0.3","0","1.75",3.82190912401357,0.0444467827826221,4752,3.71085185992924,3.9329663880979
"25","1.25","0","0.3","1.75",7.20621303348584,0.0444467827826216,4752,7.09515576940151,7.31727029757017
"26","1.5","0","0.3","1.75",5.65045871343602,0.0444467827826215,4752,5.53940144935169,5.76151597752034
"27","1.75","0","0.3","1.75",4.79501514369438,0.044446782782622,4752,4.68395787961005,4.90607240777871
"28","2","0","0.3","1.75",4.23481873468271,0.0444467827826217,4752,4.12376147059838,4.34587599876703
"29","1.25","0.3","0.3","1.75",3.98924935103066,0.0444467827826218,4752,3.87819208694633,4.10030661511499
"30","1.5","0.3","0.3","1.75",3.6073789337773,0.0444467827826204,4752,3.49632166969298,3.71843619786163
"31","1.75","0.3","0.3","1.75",3.31700725435128,0.0444467827826212,4752,3.20594999026695,3.4280645184356
"32","2","0.3","0.3","1.75",3.09430079860523,0.0444467827826196,4752,2.9832435345209,3.20535806268955
"33","1.25","0","0","2.1",8.87392257648592,0.0444467827826207,4752,8.76286531240159,8.98497984057024
"34","1.5","0","0","2.1",7.6108911269915,0.0444467827826222,4752,7.49983386290717,7.72194839107583
"35","1.75","0","0","2.1",6.64190338780639,0.0444467827826208,4752,6.53084612372206,6.75296065189071
"36","2","0","0","2.1",5.84012867036247,0.0444467827826212,4752,5.72907140627815,5.9511859344468
"37","1.25","0.3","0","2.1",4.89131674128926,0.0444467827826212,4752,4.78025947720493,5.00237400537359
"38","1.5","0.3","0","2.1",4.42340436617498,0.0444467827826205,4752,4.31234710209065,4.5344616302593
"39","1.75","0.3","0","2.1",4.07372017037515,0.0444467827826219,4752,3.96266290629083,4.18477743445948
"40","2","0.3","0","2.1",3.7850309139239,0.0444467827826224,4752,3.67397364983957,3.89608817800823
"41","1.25","0","0.3","2.1",6.87364244454557,0.0444467827826201,4752,6.76258518046125,6.9846997086299
"42","1.5","0","0.3","2.1",5.51263468042327,0.0444467827826209,4752,5.40157741633894,5.6236919445076
"43","1.75","0","0.3","2.1",4.72431346699221,0.0444467827826208,4752,4.61325620290788,4.83537073107654
"44","2","0","0.3","2.1",4.14884914752913,0.0444467827826194,4752,4.03779188344481,4.25990641161345
"45","1.25","0.3","0.3","2.1",3.94355452573052,0.0444467827826235,4752,3.83249726164618,4.05461178981485
"46","1.5","0.3","0.3","2.1",3.57603620663184,0.0444467827826196,4752,3.46497894254752,3.68709347071616
"47","1.75","0.3","0.3","2.1",3.30394663638468,0.0444467827826218,4752,3.19288937230036,3.41500390046901
"48","2","0.3","0.3","2.1",3.0748078738002,0.0444467827826186,4752,2.96375060971588,3.18586513788452
